id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
88102,True,Tabriz,Wednesday 05AM,گوشی جد ۵ گلد پریوم داری اثرانگشت وحافظه ۱۶ گیگ اک میباشد و فقط برای فروش هست داری گارانتی اینتر,2,NA,mobile,730000,گوشی جی ۵ پریوم گلد,NA,NA
88111,True,Ahvaz,Wednesday 05AM,گوشی سامسونگ. w3 … منو فول اچدی … سیستم عامل بادا bada … دوربین HD … تنها ایرادی که داره فقط پایه شارجش باید لحیم بشه … به غیر پایه شارجش دیگه هیچ مشکلی نداره و مثل ساعت کار میکند … قیمت خود مشتری بده توافقی … جوابدهی تماس یا واتساب … ممنون از دیوار,2,NA,mobile,-1,گوشی سامسونگ  Wave 3,NA,NA
88141,False,Tehran,Thursday 10AM,"نو
بدون حتى یک نقطه
((جعبه مشکی)) نه زرد
دوربين 18
أندرويد 
شيك.لوكس.خوشدست
مثل بقيه بلك بري ها دردسر نداره چون اندرويده
قیمت واقعا مناسب
اگه در دسترس نبودم تلگرام حتما پیام بدید در خدمتم",3,NA,mobile,1600000,BlackBerry PRIV,NA,NA
88302,True,Kermanshah,Tuesday 09AM,لطفا خریدار واقعی تماس یا پیام بده سپاس,0,NA,mobile,600000,گوشی موبایل هواوی 750 u10,NA,NA
88518,False,Shiraz,Friday 09AM,"گوشی در حد نو بدون خط و خش بدون تعمیر و باز شدن,به شرط هر جا خواستید نشون بدید واقعا مشابه گوشی صفر هست قیمت مقطوع",4,NA,mobile,810000,"ایفون 5S ,16gig",NA,NA
88603,True,Mashhad,Wednesday 08AM,"گوشی بسیار تمیز و کمکار
رنگ مشکی از اول تو گارد بود بدون ضربه
معاوضه ندارم! به شر‌ط تست",0,NA,mobile,260000,گوشی هواوی G6,NA,NA
88681,True,Mashhad,Thursday 08AM,"در حد آک(بیشتر از 1 ساله ک استفاده نشده و فقط شارژ شده ک باطری نخوابه)$NUMساعت مهلت تست...تخفیف جزئی

###لطفا پیامک###


سپاس ک وقت گذاشتید...",1,NA,mobile,135000,نوکیا 206,NA,NA
88684,True,Karaj,Friday 05AM,گوشی نوکیا فنلاند 5روز خرید مقطوع,1,NA,mobile,160000,گوشی نوکیا,NA,NA
88851,True,Ahvaz,Friday 07AM,"گوشی سالم سالم بدون خط و خش با آخرین ورژن اندروید همراه با کارتون
دیدن=خرید
قیمت مقطوع مشکل داری با قیمت تماس نگیر
سامسونگ اس٦ اج
٦٤گیگ
گلد
توضیحات کامل",3,NA,mobile,1500000,اس٦ اج ٦٤گیگ گلد,NA,NA
89096,True,Ahvaz,Saturday 02AM,دوربین پشت ۱۳ و دوربین جلو ۸ مگا پیکسل بسیار خوش دست وشیک ۴ روز پیش خریدم$NUMتومان .  مدل جید j7 هستش (پریم) تخفیف هم اصلا ندارد چون نو نو است.,0,NA,mobile,1050000,گوشی موبایل سامسونگ گلکسی j7 (پریم),NA,NA
